il,ilce,AKP,CHP,MHP,HDP,OTHERS,AKPV,CHPV,MHPV,HDPV,OTHERSV,kod
Bartın,Bartın,0.4145,0.3053,0.182,0.0124,0.08570000000000001,49600.0,36526.0,21782.0,1484.0,10261.0,74
Bartın,Kurucaşile,0.3687,0.3718,0.157,0.0067,0.09579999999999997,1663.0,1677.0,708.0,30.0,432.0,74
Bartın,Ulus,0.5534,0.2134,0.1328,0.0053,0.09510000000000003,8227.0,3172.0,1974.0,79.0,1414.0,74
Batman,Batman,0.1818,0.0079,0.0104,0.7258,0.12990000000000004,47921.0,2083.0,2748.0,191309.0,34259.0,72
Batman,Beşiri,0.17550000000000002,0.0034,0.0063,0.7476,0.11440000000000004,2446.0,48.0,88.0,10418.0,1596.0,72
Batman,Gercüş,0.26030000000000003,0.0091,0.0165,0.5905,0.2159,2553.0,89.0,162.0,5792.0,2118.0,72
Batman,Hasankeyf,0.2599,0.012,0.0146,0.6308,0.1419,799.0,37.0,45.0,1939.0,436.0,72
Batman,Kozluk,0.1827,0.0061,0.0074,0.7555,0.08560000000000002,5271.0,176.0,213.0,21797.0,2473.0,72
Batman,Sason,0.397,0.0364,0.016399999999999998,0.4693,0.1269,4773.0,438.0,197.0,5643.0,1525.0,72
Bayburt,Aydıntepe,0.6362,0.0211,0.2919,0.0012,0.049599999999999984,2683.0,89.0,1231.0,5.0,209.0,69
Bayburt,Bayburt,0.6025,0.0246,0.3201,0.0108,0.04180000000000001,27219.0,1110.0,14461.0,490.0,1896.0,69
Bayburt,Demirözü,0.6837000000000001,0.0522,0.2143,0.0036,0.04609999999999999,3376.0,258.0,1058.0,18.0,228.0,69
Bilecik,Bilecik,0.373,0.29460000000000003,0.2579,0.033,0.0416,49172.0,38833.0,34006.0,4349.0,5475.0,11
Bilecik,Bozüyük,0.32630000000000003,0.3262,0.2637,0.0492,0.03459999999999998,14975.0,14971.0,12104.0,2258.0,1586.0,11
Bilecik,Gölpazarı,0.4367,0.32409999999999994,0.1824,0.0086,0.04810000000000002,3151.0,2339.0,1316.0,62.0,348.0,11
Bilecik,İnhisar,0.4256,0.3232,0.1885,0.0099,0.05269999999999999,815.0,619.0,361.0,19.0,101.0,11
Bilecik,Osmaneli,0.4421,0.2508,0.2421,0.0131,0.0518,6124.0,3475.0,3354.0,181.0,719.0,11
Bilecik,Pazaryeri,0.42200000000000004,0.2038,0.3007,0.0376,0.03580000000000001,3150.0,1521.0,2245.0,281.0,268.0,11
Bilecik,Söğüt,0.4004,0.2688,0.2375,0.0261,0.06739999999999999,4793.0,3217.0,2843.0,312.0,805.0,11
Bilecik,Yenipazar,0.4973,0.2815,0.1854,0.0041,0.0316,1210.0,685.0,451.0,10.0,77.0,11
Bingöl,Adaklı,0.40700000000000003,0.0213,0.0181,0.4776,0.0971,1799.0,94.0,80.0,2111.0,429.0,12
Bingöl,Bingöl,0.4694,0.0124,0.027999999999999997,0.4099,0.12799999999999995,61294.0,1622.0,3652.0,53519.0,16694.0,12
Bingöl,Genç,0.6322,0.0071,0.0206,0.2597,0.1216,10262.0,116.0,334.0,4215.0,1972.0,12
Bingöl,Karlıova,0.1014,0.0055000000000000005,0.0138,0.784,0.16800000000000004,1517.0,82.0,207.0,11732.0,2515.0,12
Bingöl,Kiğı,0.3113,0.0758,0.0721,0.4921,0.0524,907.0,221.0,210.0,1434.0,153.0,12
Bingöl,Solhan,0.6318,0.0064,0.0182,0.2522,0.14590000000000006,9422.0,96.0,272.0,3762.0,2173.0,12
Bingöl,Yayladere,0.1777,0.0508,0.0816,0.6564,0.0343,196.0,56.0,90.0,724.0,38.0,12
Bingöl,Yedisu,0.2008,0.11800000000000001,0.0176,0.6307,0.03340000000000001,342.0,201.0,30.0,1074.0,57.0,12
Bitlis,Adilcevaz,0.2673,0.0184,0.0673,0.6188,0.035900000000000015,3734.0,257.0,940.0,8644.0,500.0,13
Bitlis,Ahlat,0.2696,0.018500000000000003,0.0781,0.6142,0.0211,4975.0,342.0,1441.0,11333.0,389.0,13
Bitlis,Bitlis,0.3095,0.0134,0.0389,0.6035,0.0458,47738.0,2069.0,6000.0,93104.0,7063.0,13
Bitlis,Güroymak,0.2621,0.009000000000000001,0.0134,0.6931999999999999,0.0239,5301.0,182.0,271.0,14022.0,489.0,13
Bitlis,Hizan,0.3656,0.0077,0.0106,0.5867,0.0299,5593.0,118.0,162.0,8975.0,462.0,13
Bitlis,Mutki,0.5579,0.0123,0.026000000000000002,0.354,0.0632,6939.0,153.0,324.0,4403.0,787.0,13
Bitlis,Tatvan,0.2443,0.0102,0.0376,0.6772,0.0435,10393.0,433.0,1601.0,28814.0,1842.0,13
Bolu,Bolu,0.52,0.2461,0.1609,0.0167,0.0563,95752.0,45313.0,29635.0,3069.0,10383.0,14
Bolu,Dörtdivan,0.7748999999999999,0.0703,0.1002,0.0029,0.051499999999999976,3494.0,317.0,452.0,13.0,233.0,14
Bolu,Gerede,0.7976000000000001,0.0753,0.0759,0.0059,0.04520000000000001,17633.0,1665.0,1679.0,130.0,1001.0,14
Bolu,Göynük,0.6690999999999999,0.1457,0.1084,0.0045000000000000005,0.07230000000000003,7096.0,1545.0,1150.0,48.0,766.0,14
Bolu,Kıbrıscık,0.4533,0.3861,0.0938,0.009000000000000001,0.0578,1053.0,897.0,218.0,21.0,134.0,14
Bolu,Mengen,0.4702,0.3391,0.1259,0.0073,0.0575,4299.0,3100.0,1151.0,67.0,525.0,14
Bolu,Mudurnu,0.5,0.2521,0.17190000000000005,0.006,0.07020000000000003,6768.0,3412.0,2327.0,81.0,948.0,14
Bolu,Seben,0.5275,0.2181,0.196,0.0055000000000000005,0.05330000000000002,2107.0,871.0,783.0,22.0,211.0,14
Bolu,Yeniçağa,0.6664,0.1316,0.0956,0.0043,0.10200000000000002,3270.0,646.0,469.0,21.0,501.0,14
Burdur,Ağlasun,0.5803,0.1711,0.1896,0.0061,0.05309999999999999,3352.0,988.0,1095.0,35.0,306.0,15
Burdur,Altınyayla,0.6375,0.1023,0.1879,0.0052,0.0672,2219.0,356.0,654.0,18.0,234.0,15
Burdur,Bucak,0.5082,0.13970000000000002,0.292,0.0121,0.04800000000000002,20691.0,5687.0,11890.0,492.0,1953.0,15
Burdur,Burdur,0.4294,0.2732,0.2323,0.0148,0.05040000000000002,71464.0,45467.0,38655.0,2457.0,8373.0,15
Burdur,Çavdır,0.3872,0.2674,0.2871,0.0093,0.0488,3114.0,2151.0,2309.0,75.0,394.0,15
Burdur,Çeltikçi,0.5667,0.1903,0.1888,0.0048,0.04930000000000002,2230.0,749.0,743.0,19.0,194.0,15
Burdur,Gölhisar,0.5592,0.1449,0.2401,0.0104,0.0454,7669.0,1987.0,3293.0,143.0,622.0,15
Burdur,Karamanlı,0.3421,0.3835,0.2134,0.0171,0.04409999999999999,1883.0,2111.0,1175.0,94.0,242.0,15
Burdur,Kemer,0.5932999999999999,0.17800000000000002,0.17120000000000002,0.0032,0.0545,1497.0,449.0,432.0,8.0,137.0,15
Burdur,Tefenni,0.3569,0.2444,0.34840000000000004,0.0127,0.03750000000000001,2472.0,1693.0,2413.0,88.0,260.0,15
Burdur,Yeşilova,0.321,0.4435,0.1757,0.0063,0.0536,3746.0,5175.0,2050.0,73.0,625.0,15
